Question,Reference Answer,RAG Answer,Labels
Who is Tenali RamaKrishna?,"Tenali Ramakrishna was a Telugu poet, scholar, and advisor in the court of Sri Krishnadevaraya of the Vijayanagara Empire.","Tenali Rama  Krishna   Tenali Ramakrishna  (22 September 1480 – 5 August 1528) was a  Telugu  poet, scholar,  and advisor in the court of  Sri Krishnadevaraya  of the  Vijayanagara Empire .  Early life:   Tenali Ramakrishna was born in Tenali in a Telugu -speaking Brahmin family. Despite lack of formal education, his thirst for knowledge led him to become a renowned  scholar.",Match with Irrelevant data
How did Tenali RamaKrishan Died?,Died in 1528 reportedly due to a snakebite.,"At the end of three days,  none  of the ministers could figure  out the difference . The king got worried and went to visit Tenali Rama . He said to him, “Tenali it is a  matter of our honour now .  Tenali Rama  Krishna   Tenali Ramakrishna  (22 September 1480 – 5 August 1528) was a  Telugu  poet, scholar,  and advisor in the court of  Sri Krishnadevaraya  of the  Vijayanagara Empire .",Related but wrong
What is the moral of the story Tenali RamaKrishana and Foolish Thieves,Moral: We can overcome any trouble if we do not lose our cool and put our brains to work.,Tenali Rama and The Foolish thieves   A gang of thieves was ransacking every house in the Vijayanagara  kingdom. The  city chief was troubled as his guards were unable to catch the thieves.  The story of how the smart Tenali Rama caught the thieves was  the talk of the town for days. Moral:  We can overcome any trouble if we do not lose our cool and put our  brains to work.,Match with Irrelevant data
What is the moral of the story Tenali RamaKrishana and The Three Dolls,"Moral:The personality  of the person reflects through his thoughts. If you are crooked, your thoughts will be crooked and if you are straight and fair, your thoughts will be likewise.","Tenali Rama and The Three Dolls     The great king Krishna Deva Raya had a lot of wise ministers in his court. The wisest of them  was Tenali Rama . One day, a merchant came to the king’s court.  He said, “ These three dolls are different because one of them is good, one average and one  bad.”     When everyone asked Tenali that which doll was which, he showed them a  tiny hole that  was present in the ears of each of the dolls .",Related but wrong
What is TenaliRamaKrishna Famous for?,Tenal RamaKrishna is famous for his wit and humour,"Early life:   Tenali Ramakrishna was born in Tenali in a Telugu -speaking Brahmin family. Despite lack of formal education, his thirst for knowledge led him to become a renowned  scholar.  Tenali Rama  Krishna   Tenali Ramakrishna  (22 September 1480 – 5 August 1528) was a  Telugu  poet, scholar,  and advisor in the court of  Sri Krishnadevaraya  of the  Vijayanagara Empire .",Wrong
Name some works by Tenali RamaKrishana,"His notable work, Panduranga Mahatmyam, is considered a great Telugu Kavya. He also composed Udbhataradhya Charitamu, showcasing his deep connection to Shaivism.","Tenali Rama  Krishna   Tenali Ramakrishna  (22 September 1480 – 5 August 1528) was a  Telugu  poet, scholar,  and advisor in the court of  Sri Krishnadevaraya  of the  Vijayanagara Empire .  Literary works:   His notable work, Panduranga Mahatmyam, is considered a great Telu gu Kavya. He also composed Udbhataradhya Charitamu, showcasing his deep connection to Shaivism.",Match
Who is the author of Adventures of Pinocchio,Author:Carlo Collodi,"The Project Gutenberg eBook of  The Adventures of Pinocchio   This ebook is for the use of anyone anywhere in the United States and most other parts of the  world at no cost and with almost no restrictions whatsoever.  Title: The Adventures of Pinocchio   Author: Carlo Collodi   Translator: Carol Della Chiesa   Release date: January 12, 2006 [eBook #500]   Most recently updated: January 28, 2021   Language: English   Credits: Produced by Charles Ke ller (for Tina); and David Widger   *** START OF THE PROJECT GUTENBERG EBOOK THE ADVENTURES OF  PINOCCHIO ***     THE  ADVENTURES  OF  PINOCCHIO   by C. Collodi  [Pseudonym of Carlo  Lorenzini]   Translated from the Italian by  Carol Della Chiesa         CONTENTS    CHAPTER 1   CHAPTER 2   CHAPTER 3   CHAPTER 4   CHAPTER 5   CHAPTER 6   CHAPTER 7   CHAPTER 8   CHAPTER 9   CHAPTER 10   CHAPTER 11   CHAPTER 12   CHAPTER 13   CHAPT ER 14   CHAPTER 15   CHAPTER 16   CHAPTER 17   CHAPTER 18   CHAPTER 19   CHAPTER 20   CHAPTER 21   CHAPTER 22   CHAPTER 23   CHAPTER 24   CHAPTER 25   CHAPT ER 26   CHAPTER 27   CHAPTER 28   CHAPTER 29   CHAPTER 30   CHAPTER 31  CHAPTER 32   CHAPTER 33   CHAPTER 34   CHAPTER 35   CHAPTER 36                                              CHAPTER 1   How it happened that Mastro Cherry, carpenter, found a piece of wood that wept  and laughed like a child.",Match with Irrelevant data
How many Chapters are there in Adventures of Pinocchio,36 chapters,The Project Gutenberg eBook of  The Adventures of Pinocchio   This ebook is for the use of anyone anywhere in the United States and most other parts of the  world at no cost and with almost no restrictions whatsoever.  CHAPTER 24  Pinocchio reaches the Island of the Busy Bees and finds the Fairy once more.,Wrong
Why does Pinocchio nose grow when he lies?,Pinocchios nose grows as a punishment and reminder of the consequences of dishonesty.,"I know Pinocchio well and he is indeed a very wicked fellow, lazy and  disobedient, who instead of going to school, runs away with his playmates to have  a good time.”   At this speech, his nose returned to its natural size.  “I think he’s a very good boy, fond of study, obedient, kind to his Father, and to  his whole family —”  As he was telling all these enormous lies about himself, Pinocchio touched his  nose and found it twice as long as it should be.",Wrong
What makes Pinocchio decide to rescue Geppetto from the whale?,Pinocchio realizes how much he loves and wants to protect Geppetto,"The two  fugitives were just about to dive into the sea when the Shark sneezed very  suddenly an d, as he sneezed, he gave Pinocchio and Geppetto such a jolt that they  found themselves thrown on their backs and dashed once more and very  unceremoniously into the stomach of the monster.  I’ll take care of everything  else.”   As soon as Geppetto was comfortably seated on his shoulders, Pinocchio, very  sure of what he was doing, dived into the water and started to swim.",Wrong
